"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.072056610E-1,-4.957793355E-1,5.599794388E-1,5.988121033E-2,7.503065245E-1
4.122410610E-1,-4.925783873E-1,5.902109146E-1,9.654140472E-2,7.747919941E-1
4.172764620E-1,-4.851498604E-1,5.907645226E-1,3.469467163E-3,7.644508783E-1
4.223118620E-1,-4.402447343E-1,6.305332184E-1,-8.300018311E-2,7.734834167E-1
4.273777800E-1,-3.701899052E-1,6.476335526E-1,-1.322431564E-1,7.576001826E-1
4.324131810E-1,-3.390455842E-1,6.806950569E-1,-2.396860123E-1,7.973374776E-1
4.374790980E-1,-3.082900047E-1,7.177252769E-1,-3.053197861E-1,8.386849659E-1
4.425144990E-1,-2.421875000E-1,8.086328506E-1,-3.842916489E-1,9.274815058E-1
4.475498990E-1,-2.142416835E-1,8.489227295E-1,-4.742069244E-1,9.957115580E-1
4.526158170E-1,-2.284711599E-1,9.385952950E-1,-5.111436844E-1,1.092898927E0
4.576512180E-1,-2.370536923E-1,9.899234772E-1,-5.220136642E-1,1.143958570E0
4.626866180E-1,-2.119576335E-1,1.027169704E0,-4.598655701E-1,1.145198665E0
4.677525360E-1,-2.203519344E-1,1.041174412E0,-3.752870560E-1,1.128467769E0
4.727879360E-1,-2.217849493E-1,1.036746502E0,-2.707500458E-1,1.094229163E0
4.778233370E-1,-2.072504163E-1,9.927000999E-1,-1.084680557E-1,1.019888005E0
4.828892550E-1,-2.242513895E-1,8.878092766E-1,4.615783691E-3,9.157048120E-1
4.879246550E-1,-2.369738817E-1,7.817673683E-1,1.378555298E-1,8.284449202E-1
4.929600560E-1,-2.673429847E-1,7.385058403E-1,2.863454819E-1,8.359766041E-1
4.980259730E-1,-3.108139038E-1,5.938119888E-1,4.192619324E-1,7.905684846E-1
5.030613740E-1,-2.986589670E-1,5.332865715E-1,5.559320450E-1,8.262276832E-1
5.080967740E-1,-2.624357939E-1,4.540214539E-1,6.609010696E-1,8.436813678E-1
5.131626920E-1,-1.971424222E-1,3.225784302E-1,7.537441254E-1,8.432391030E-1
5.181980930E-1,-1.165348291E-1,2.576079369E-1,8.253154755E-1,8.724034901E-1
5.232334930E-1,1.122236252E-3,1.682915688E-1,7.881975174E-1,8.059644148E-1
5.282688930E-1,1.253583431E-1,5.242156982E-2,6.932115555E-1,7.064028566E-1
5.333348110E-1,2.492929697E-1,2.900266647E-2,5.834379196E-1,6.351282905E-1
5.383702120E-1,3.310183883E-1,1.449251175E-2,5.131912231E-1,6.108587707E-1
5.434361300E-1,4.068862200E-1,-5.204200745E-3,3.775777817E-1,5.551112149E-1
5.484715300E-1,4.917381406E-1,-9.125757217E-2,3.143987656E-1,5.907460767E-1
5.535069310E-1,4.692797661E-1,-1.955180168E-1,3.157253265E-1,5.984423745E-1
