"event","experiment time","system time","system time text"
"START",0.000000000E0,1705407629.673,"2024-01-16 14:20:29.673 UTC+02:00"
"PAUSE",6.983629476E0,1705407636.657,"2024-01-16 14:20:36.657 UTC+02:00"
