"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.028488420E-1,6.283118725E-1,-1.803691387E-1,-4.072189331E-3,6.537013217E-1
4.078537250E-1,6.967192888E-1,-1.941702366E-1,-5.720138550E-3,7.232928647E-1
4.129196430E-1,7.232069373E-1,-1.906273365E-1,-3.114032745E-2,7.485564612E-1
4.179855610E-1,7.955891490E-1,-1.793982983E-1,3.103446960E-2,8.161549986E-1
4.230209610E-1,8.800314069E-1,-1.581130028E-1,1.300325394E-1,9.035283394E-1
4.280868790E-1,9.317317605E-1,-1.860787868E-1,1.496305466E-1,9.618413013E-1
4.331222800E-1,1.064979076E0,-1.800315380E-1,1.712446213E-1,1.093579676E0
4.381881970E-1,1.927398443E0,-4.786610603E-2,7.889461517E-2,1.929606251E0
4.432235980E-1,2.908896923E0,2.609293461E-1,-1.236839294E-1,2.923193998E0
4.482589980E-1,2.936613083E0,2.140760422E-1,-4.090480804E-1,2.972683179E0
4.533249160E-1,2.583526134E0,2.087876797E-1,-4.261856079E-1,2.626753463E0
4.583297990E-1,2.109474182E0,3.125438690E-1,-2.656698227E-1,2.148987075E0
4.633957170E-1,1.581719160E0,3.940207958E-1,-1.330795288E-1,1.635480984E0
4.684616350E-1,1.210986018E0,4.077901840E-1,-5.631256104E-2,1.279043031E0
4.734970350E-1,1.099423289E0,3.495621681E-1,1.286487579E-1,1.160808245E0
4.785324360E-1,1.128185153E0,3.170015812E-1,2.384185791E-1,1.195882587E0
4.835678360E-1,1.162326217E0,3.237428665E-1,2.691507339E-1,1.236225625E0
4.886337540E-1,1.122957945E0,2.673864365E-1,2.738828659E-1,1.186398701E0
4.936691550E-1,1.055122614E0,2.670900822E-1,1.676235199E-1,1.101234983E0
4.987045550E-1,1.001450300E0,2.375175953E-1,-3.435707092E-2,1.029804700E0
5.037704730E-1,8.886425495E-1,9.205222130E-2,-2.909793854E-1,9.395893757E-1
5.088363910E-1,8.128367662E-1,6.950545311E-2,-5.331897736E-1,9.745901452E-1
5.138717910E-1,6.391253471E-1,5.787420273E-2,-7.021322250E-1,9.512204235E-1
5.189071920E-1,4.162556827E-1,3.616571426E-2,-7.512741089E-1,8.596450075E-1
5.239731100E-1,2.376401424E-1,3.541493416E-2,-6.487531662E-1,6.918148058E-1
5.290085100E-1,1.532066166E-1,-1.900911331E-3,-4.647188187E-1,4.893255167E-1
5.340439100E-1,1.695676148E-1,-1.387929916E-2,-2.260246277E-1,2.829009425E-1
5.391098280E-1,2.173606455E-1,2.251100540E-2,3.612709045E-2,2.214894179E-1
5.441147110E-1,2.910429537E-1,5.372583866E-2,2.861900330E-1,4.117003785E-1
5.491806290E-1,4.184583724E-1,9.855985641E-2,5.054206848E-1,6.635295949E-1
5.542465470E-1,6.170156002E-1,1.772621870E-1,6.849088669E-1,9.387386696E-1
5.592819470E-1,7.870876193E-1,2.485826015E-1,8.821277618E-1,1.208076826E0
5.643173480E-1,8.780343533E-1,2.766040564E-1,1.056764603E0,1.401501179E0
5.693832660E-1,8.802034259E-1,3.821133375E-1,1.166476250E0,1.510442159E0
5.744186660E-1,8.264267445E-1,4.761990309E-1,1.221505165E0,1.549781129E0
5.794845840E-1,8.840873241E-1,5.301406384E-1,1.224827766E0,1.600894297E0
5.844894670E-1,8.973851204E-1,5.466854572E-1,8.827886581E-1,1.372399672E0
5.895553850E-1,7.947336435E-1,5.670415163E-1,3.928632736E-1,1.052368375E0
5.945907850E-1,6.959102750E-1,5.663690567E-1,-2.570819855E-2,8.976223764E-1
5.996567030E-1,5.357358456E-1,6.266924143E-1,-3.786621094E-1,9.072713329E-1
6.046921040E-1,4.016832113E-1,7.151966095E-1,-6.977167130E-1,1.076877061E0
6.097580220E-1,3.844265044E-1,7.632799149E-1,-9.525041580E-1,1.279704707E0
6.147934220E-1,4.144486785E-1,7.717308998E-1,-1.079636574E0,1.390306233E0
6.198288220E-1,4.650917351E-1,7.601709366E-1,-1.132502556E0,1.441087164E0
6.248947400E-1,4.979996681E-1,8.141722679E-1,-1.211447716E0,1.542234003E0
6.299301410E-1,4.896347225E-1,8.309209347E-1,-1.252138138E0,1.580513106E0
6.349655410E-1,4.685810804E-1,7.918486595E-1,-1.297652245E0,1.590752613E0
6.400009420E-1,3.712420166E-1,8.186745644E-1,-1.395507812E0,1.659967088E0
6.450668600E-1,3.080382347E-1,8.255085945E-1,-1.457488060E0,1.703121675E0
6.501022600E-1,1.727565229E-1,8.532888889E-1,-1.472162247E0,1.710324070E0
6.551376600E-1,6.819963455E-2,8.639013767E-1,-1.375803947E0,1.625980714E0
6.602035780E-1,-4.217427969E-2,8.692259789E-1,-1.249994278E0,1.523094930E0
6.652389790E-1,-1.921341717E-1,8.356375694E-1,-9.831609726E-1,1.304534854E0
6.702743790E-1,-2.634238899E-1,8.320701122E-1,-7.164354324E-1,1.129164535E0
6.753402970E-1,-3.805112839E-1,7.654261589E-1,-4.948530197E-1,9.876970958E-1
